IP Address,Information,Count,Timestamp,AS Number
3.138.188.154,AMAZON-02,261,25:16:41:01,[AS16509]
81.187.112.25,Andrews + Arnold Ltd,257,25:16:43:01,[AS20712]
81.225.207.244,Telia Company AB,255,25:16:42:01,[AS3301]
23.99.222.59,MICROSOFT-CORP-MSN-AS-BLOCK,248,25:16:38:01,[AS8075]
23.161.96.185,COGENT-174,248,25:16:37:01,[AS174]
190.97.163.111,"Cyber Cast International, S.A.",247,25:16:42:01,[AS27956]
82.65.134.3,Free SAS,246,25:16:31:01,[AS12322]
95.70.170.187,TurkNet Iletisim Hizmetleri A.S.,245,25:16:36:01,[AS12735]
178.167.39.150,Flex Ltd.,245,25:16:42:01,[AS21453]
119.31.179.202,AboveNet Communications Taiwan,243,25:16:45:01,[AS17408]
44.200.225.198,AMAZON-AES,242,25:16:36:01,[AS14618]
209.2.215.195,COLUMBIA-GW,242,25:16:41:01,[AS14]
85.214.185.51,Strato AG,240,25:16:34:01,[AS6724]
106.70.107.202,Microplex PTY LTD,238,25:16:39:01,[AS4804]
75.81.246.37,TWC-10796-MIDWEST,237,25:16:44:01,[AS10796]
192.9.150.250,ORACLE-BMC-31898,236,25:16:45:01,[AS31898]
5.51.170.72,Bouygues Telecom SA,236,25:16:41:01,[AS5410]
209.141.50.6,PONYNET,236,25:16:41:01,[AS53667]
35.214.143.171,GOOGLE,235,25:16:45:01,[AS15169]
81.30.157.78,myLoc managed IT AG,235,25:16:35:01,[AS24961]
103.99.171.201,WIZ K.K.,234,25:16:34:01,[AS54415]
91.152.122.109,Elisa Oyj,233,25:16:45:01,[AS719]
208.101.171.225,WINDSTREAM,233,25:16:42:01,[AS7029]
123.30.234.156,VNPT Corp,233,25:16:45:01,[AS45899]
86.200.194.201,Orange,233,25:16:41:01,[AS3215]
165.227.205.25,DIGITALOCEAN-ASN,232,25:16:44:01,[AS14061]
177.32.50.191,Claro NXT Telecomunicacoes Ltda,232,25:16:45:01,[AS28573]
84.249.52.141,Telia Finland Oyj,232,25:16:40:01,[AS1759]
65.109.85.37,Hetzner Online GmbH,232,25:16:43:01,[AS24940]
72.199.24.141,ASN-CXA-ALL-CCI-22773-RDC,231,25:16:42:01,[AS22773]
206.126.203.8,DIAMONDNET,231,25:16:44:01,[AS20329]
104.218.51.82,IS-AS-1,230,25:16:45:01,[AS19318]
31.7.70.195,Asiatech Data Transmission company,230,25:16:44:01,[AS43754]
135.135.93.213,TDS-AS,229,25:16:45:01,[AS4181]
201.0.252.168,TELEFONICA BRASIL S.A,229,25:16:04:01,[AS27699]
45.145.188.112,LLC T1Cloud,228,25:16:44:01,[AS206805]
83.251.206.234,Tele2 SWIPnet,227,25:16:45:01,[AS1257]
85.10.30.161,"A1 Slovenija telekomunikacijske storitve,d.d.",227,25:16:40:01,[AS21283]
207.195.137.245,STINET-1,226,25:16:40:01,[AS30027]
159.224.238.145,Content Delivery Network Ltd,226,25:16:40:01,[AS13188]
108.18.151.243,UUNET,226,25:16:40:01,[AS701]
94.209.115.52,Vodafone Libertel B.V.,226,25:16:43:01,[AS33915]
213.250.22.119,"Telekom Slovenije, d.d.",226,25:16:38:01,[AS5603]
223.205.105.217,Triple T Broadband Public Company Limited,225,25:16:43:01,[AS45758]
188.63.158.192,Bluewin,225,25:16:36:01,[AS3303]
185.145.128.21,Abelohost BV,225,25:16:45:01,[AS204196]
